state_key,year,pop_sum_grid,pop_sum_grid_log1p,mean_target_year,mean_ntl_year_used,mean_ntl_sensor_code,mean_pop_year_used,wmean_target_year,wmean_ntl_year_used,wmean_ntl_sensor_code,wmean_pop_year_used,wmean_elevation,wmean_evi_mean,wmean_frac_cropland,wmean_frac_forest,wmean_frac_urban,wmean_ndvi_mean,wmean_ndvi_peak,wmean_ndvi_range,wmean_ntl_highshare,wmean_ntl_mean,wmean_ntl_median,wmean_slope,dist_ntl_mean_mean,dist_ntl_mean_std,dist_ntl_mean_p10,dist_ntl_mean_p25,dist_ntl_mean_p75,dist_ntl_mean_p90,dist_ntl_mean_iqr,dist_ntl_mean_p90_p10,dist_ntl_mean_cv,dist_urban_cell_share_thr02,dist_bright_cell_share_thr1,dist_pop_sum,dist_urban_pop_share_thr02,dist_bright_pop_share_thr1,wmean_ntl_mean_z_by_year,wmean_ntl_mean_rank_by_year,wmean_ntl_median_z_by_year,wmean_ntl_median_rank_by_year,wmean_ntl_highshare_z_by_year,wmean_ntl_highshare_rank_by_year,wmean_ndvi_mean_z_by_year,wmean_ndvi_mean_rank_by_year,wmean_ndvi_peak_z_by_year,wmean_ndvi_peak_rank_by_year,wmean_ndvi_range_z_by_year,wmean_ndvi_range_rank_by_year,wmean_evi_mean_z_by_year,wmean_evi_mean_rank_by_year,wmean_frac_urban_z_by_year,wmean_frac_urban_rank_by_year,wmean_frac_cropland_z_by_year,wmean_frac_cropland_rank_by_year,wmean_frac_forest_z_by_year,wmean_frac_forest_rank_by_year,wmean_elevation_z_by_year,wmean_elevation_rank_by_year,wmean_slope_z_by_year,wmean_slope_rank_by_year,pop_sum_grid_z_by_year,pop_sum_grid_rank_by_year,pop_sum_grid_log1p_z_by_year,pop_sum_grid_log1p_rank_by_year,state,poverty_absolute,poverty_hardcore,poverty_relative
Johor,2002,24148.875225208885,10.092034492409354,2002.0,2002.0,0.0,2002.0,2002.0000000000005,2002.0000000000005,0.0,2002.0000000000005,30.457810105416367,0.36962655680616113,0.06761855505164213,0.18229590724528785,0.3750267864976835,0.5777430828886886,0.6863974798432627,0.3613925326950968,0.4949528286011637,32.882333650468816,32.882333650468816,0.5619983578519301,5.775513392722274,11.407485776607118,0.0,0.0,5.213598704044098,12.224761908455315,5.213598704044098,12.224761908455315,1.9751466231567476,0.030647898572426873,0.6397624039133473,24148.875225208885,0.3757872361529554,0.9734188955725754,-0.027503441230086217,0.625,-0.027503441230086217,0.625,-0.006252581626842507,0.625,0.17100139041550702,0.4375,0.14316293980278796,0.375,0.38063279457586224,0.75,0.0852288102502843,0.375,-0.04610839474784362,0.625,-0.5275554594481525,0.375,0.2935761639047452,0.75,-0.6605806976672617,0.3125,-0.8958911381267387,0.25,1.1458464991466584,0.9375,0.8811004374656174,0.9375,Johor,1.8,0.2,16.1
Johor,2004,25210.90563970198,10.135071607951952,2004.0,2004.0,0.0,2004.0,2004.0,2004.0,0.0,2004.0,30.734038574164064,0.3535182583318398,0.024485034721382436,0.1467399857575645,0.3857722102654859,0.5417372760646507,0.6663218035385159,0.39120535373732396,0.5389620704958573,41.21884363977849,41.21884363977849,0.5655928334400486,6.54086100263399,14.155146273618291,0.0,0.27154925310427774,5.048267162251332,13.099418979046423,4.776717909147055,13.099418979046423,2.164110545347766,0.030947389437955476,0.6946191474493362,25210.90563970198,0.3865170952656498,0.9806757559150262,0.02647042894588739,0.625,0.02647042894588739,0.625,0.04048197165517,0.625,-0.11031484076685696,0.375,0.033445648159451974,0.375,0.4981900933849731,0.5625,0.008055235884291006,0.4375,-0.01932433505478419,0.625,-0.587830145970137,0.25,0.19101504430996932,0.6875,-0.6508400431101112,0.3125,-0.8856655425025451,0.25,1.13379685250212,0.9375,0.8875224341979745,0.9375,Johor,2.0,0.3,15.3
Johor,2007,26957.94157218341,10.202070305063572,2007.0,2007.0,0.0,2007.0,2007.0000000000005,2007.0000000000005,0.0,2007.0000000000005,30.690615320998695,0.34622743445351145,0.007059414531341775,0.10744356898864973,0.3985589236304233,0.5344692773562107,0.6604098587060926,0.40072415677240614,0.5729929525485705,40.370438313907236,40.370438313907236,0.5607558432114577,7.126675111127582,13.703300631261142,0.0,0.0,6.241147449046613,16.55929244228525,6.241147449046613,16.55929244228525,1.9228182028309395,0.03149645602475791,0.6650194669062593,26957.941572183412,0.3992617060268751,0.9789327485278966,-0.027236481744414818,0.625,-0.027236481744414818,0.625,0.044588086676835496,0.625,-0.2251869172893488,0.375,-0.03442645835554589,0.375,0.3804172061822243,0.6875,-0.18619767976413348,0.375,-0.0009075448734727448,0.625,-0.6212405170243165,0.25,-0.04473569330727033,0.6875,-0.6483550246324692,0.3125,-0.9029023556193028,0.25,1.1108653531841175,0.9375,0.8922338965050901,0.9375,Johor,1.5,0.2,14.2
Johor,2009,28205.509988638198,10.24730808094522,2009.0,2009.0,0.0,2009.0,2008.9999999999995,2008.9999999999995,0.0,2008.9999999999995,30.805711728568593,0.3542851691599733,0.008996026387518494,0.08354781007211877,0.4154389037321437,0.540413795562234,0.6568783824497362,0.3602222439609865,0.6185794144508298,40.24772772675235,40.24772772675235,0.5649976480978949,7.184384731276252,13.543954563391285,0.0,0.0,7.485684884933557,19.053655540446403,7.485684884933557,19.053655540446403,1.8851933837207115,0.03204552261156035,0.538983727662973,28205.5099886382,0.4163397515393417,0.9608970010069872,0.014699017062566204,0.625,0.014699017062566204,0.625,0.11561268022829353,0.625,-0.2093571711771877,0.3125,-0.12370073762299999,0.375,0.021840634229406453,0.5,-0.09704274218281796,0.3125,0.035428880929881605,0.625,-0.6455958400202484,0.25,-0.19129310187488907,0.625,-0.6370649745733458,0.3125,-0.8782871104415039,0.25,1.0997758531609096,0.9375,0.8978928438981,0.9375,Johor,1.3,0.1,17.2
Johor,2012,30345.127887163617,10.320424206376828,2012.0,2013.0,1.0,2012.0,2011.9999999999998,2013.0,1.0,2011.9999999999998,30.090364377105836,0.3333741606775573,0.004670429486085955,0.05765813385824187,0.46960096579863525,0.5152962730141594,0.6454102572022173,0.3540512399274951,0.8867434442836126,18.238910558327454,18.21023548993283,0.556922853797897,2.0217681116924466,5.858098123512311,0.16459071774693093,0.21537198053271156,1.112640460799722,3.4065405422584423,0.8972684802670104,3.2419498245115115,2.8975123738156663,0.033742637516222425,0.27118897873614856,30345.127887163617,0.4706477012697829,0.8892826342197853,0.0856566209200187,0.6875,0.11101743449429118,0.6875,0.3312879407268439,0.5625,-0.443165734579783,0.3125,-0.19216185173388828,0.3125,0.4299644432751961,0.6875,-0.3386072214741,0.3125,0.14924773922266057,0.625,-0.6382618334681961,0.25,-0.3119460184392914,0.5,-0.6294852923877908,0.375,-0.8551525727028061,0.25,1.0853768122808203,0.875,0.9079232124486685,0.875,Johor,0.9,0.1,16.1
Johor,2014,31900.283920458438,10.370401536253228,2014.0,2014.0,1.0,2014.0,2014.0,2014.0,1.0,2014.0,30.182607090457473,0.3302852084558289,0.0031390951573274737,0.04378190795271387,0.4739373958306277,0.5168445133979498,0.6380220447807227,0.34176222066232287,0.8914027816649867,19.516877443715497,19.370117982020375,0.5566100784291634,2.074948036879581,6.2127952600660405,0.055272198839664353,0.10836193763157895,1.1519007395295537,3.68287649469665,1.0435388018979748,3.627604295856986,2.9941931781650704,0.03359289208345812,0.2757811720075871,31900.283920458438,0.47497555150763754,0.8940324686481511,0.09440887379592168,0.75,0.10484564702678943,0.75,0.2936376392133557,0.5,-0.2821606044266646,0.3125,-0.2032324729161748,0.375,0.07734479239385159,0.5625,-0.25026523064213524,0.375,0.15902838234861158,0.625,-0.646441731812542,0.25,-0.38282461510494126,0.5,-0.6236032834563875,0.375,-0.8444241400502366,0.25,1.0760113852994746,0.875,0.9132418915203055,0.875,Johor,0.0,0.0,10.2
Johor,2016,33480.78324893687,10.418756786295402,2016.0,2016.0,1.0,2016.0,2015.9999999999998,2015.9999999999998,1.0,2015.9999999999998,30.196451676341496,0.3275779898053631,0.004206848378600727,0.03718864428297174,0.48771369211978,0.495057723397233,0.6273484899306094,0.3481561749992641,0.9065925531061446,21.697618696745984,21.446395911691337,0.554129171136646,2.3293515203963384,6.818799636710158,0.07411521435222201,0.13208474215923566,1.2863546837778652,4.195882398425127,1.1542699416186295,4.121767184072905,2.9273381772033287,0.03424178895877009,0.2971448537486273,33480.78324893687,0.4887824054204735,0.9086156064050339,0.161427311011765,0.6875,0.18398483507340102,0.6875,0.3347430424158604,0.5625,-0.4363919468567128,0.3125,-0.2574517791866018,0.3125,-0.01173078238839416,0.5625,-0.28420440348147935,0.375,0.19415480658904596,0.625,-0.6338966411732845,0.25,-0.43861094863342825,0.5,-0.6194501249199476,0.375,-0.8472245270709422,0.25,1.0675866532983656,0.875,0.9194456393452599,0.875,Johor,0.0,0.0,13.5
Johor,2019,36030.93464837256,10.49216089778692,2019.0,2019.0,1.0,2019.0,2018.9999999999995,2018.9999999999995,1.0,2018.9999999999995,30.308137462001557,0.3345193399330411,0.003116064520984171,0.05015690256012948,0.5065358603615865,0.5181579812513618,0.6373036996066701,0.3448542780754504,0.9347572981490256,25.541486203573356,24.968722822652488,0.555201591042432,3.584922928542497,40.42834878485954,0.1942590990370395,0.26924065174717526,1.818954233562245,5.632341763190289,1.5497135818150698,5.438082664153249,11.277327178137956,0.03553958270939403,0.378157132874114,36030.93464837256,0.5076000112148468,0.9363888713835399,0.39435586682759544,0.75,0.3913305832420131,0.75,0.39827977744501336,0.5625,-0.3985245597389844,0.3125,-0.3239923633680943,0.375,0.1919998217017146,0.625,-0.3504620727110722,0.375,0.2518524336137434,0.6875,-0.6318546462515028,0.25,-0.3493178585517861,0.5,-0.6151899547579974,0.375,-0.8429460211200781,0.25,1.0520267616081393,0.875,0.9273770668462683,0.875,Johor,3.9,0.2,15.3
Johor,2020,36984.55671437955,10.518282756345602,2020.0,2020.0,1.0,2020.0,2020.0000000000002,2020.0000000000002,1.0,2020.0000000000002,30.227448025059353,0.3329624892848279,0.00560944535901446,0.049127470821174815,0.5148758110587454,0.5072302091156553,0.6260502222762734,0.3392129638858912,0.9429085103337416,26.11587780061062,25.586696433292296,0.5528672451736321,3.4586505385798314,21.641664622034824,0.32512044353803143,0.3912978711373666,1.881209108434987,5.661068348312562,1.4899112372976204,5.335947904774531,6.257256804170775,0.03598881900768693,0.3948787061994609,36984.55671437955,0.5159179022179142,0.9446745983768833,0.38913394891541025,0.75,0.39133713737820097,0.75,0.39294038853276025,0.5625,-0.5149372222924964,0.25,-0.350081914579098,0.3125,0.14714981625594148,0.625,-0.42569594585836684,0.3125,0.2686954432599407,0.6875,-0.631697814804071,0.25,-0.3425303593569029,0.5,-0.6136551533475472,0.375,-0.838802402654814,0.25,1.0465392717808784,0.875,0.9301782025164623,0.875,Johor,5.9,0.6,13.9
Johor,2022,36984.55671437955,10.518282756345602,2022.0,2022.0,1.0,2020.0,2022.0,2022.0,1.0,2020.0000000000002,30.227448025059353,0.3328883923659246,0.011562115185455066,0.05069047414345751,0.5181212135723028,0.5037477626868375,0.6311971435822017,0.3735261437474049,0.9473073295354338,24.692999039031253,24.074514677368086,0.5528672451736321,3.3093959451956647,18.7598159758787,0.33280156226719126,0.4078050172062536,1.9649855914069156,5.731435637006575,1.557180574200662,5.398634074739384,5.668652612403225,0.03638814016172507,0.40985324947589097,36984.55671437955,0.5191524124056986,0.9488238085401719,0.3809791615619136,0.6875,0.3760930833457714,0.6875,0.42775145226411676,0.625,-0.4824399517035015,0.25,-0.302408640665906,0.375,-0.4114283718343417,0.375,-0.31392102562633106,0.3125,0.2764025714477332,0.75,-0.6602841075665127,0.25,-0.34454710404261435,0.5625,-0.6136551533475472,0.375,-0.838802402654814,0.25,1.0465392717808784,0.875,0.9301782025164623,0.875,Johor,4.6,0.1,15.9
