target,model,metric,observed,ci_lower,ci_upper,n_boot,group_col,n_groups
poverty_absolute,current_xgb,mae,2.537154545658713,1.28940767679015,4.043987969843414,2000,state_key,16
poverty_absolute,current_xgb,rmse,4.66391794832192,2.051867733344856,6.8304606029899055,2000,state_key,16
poverty_absolute,current_xgb,r2,0.1835427626949524,-0.3159954837787608,0.6760348436026895,2000,state_key,16
poverty_absolute,current_xgb,spearman,0.8101747513170536,0.692898197738138,0.8855700181145337,2000,state_key,16
poverty_absolute,current_xgb,pearson,0.4944332491697651,0.29104455469817725,0.8369585927595703,2000,state_key,16
poverty_absolute,rf_current_full,mae,2.5122173100725793,1.4002203788451624,3.9719113689515266,2000,state_key,16
poverty_absolute,rf_current_full,rmse,4.544500845637284,2.1906008912694683,6.740021523535871,2000,state_key,16
poverty_absolute,rf_current_full,r2,0.22481739690046698,-0.0703266607361746,0.628741795654045,2000,state_key,16
poverty_absolute,rf_current_full,spearman,0.7886204714639722,0.6791460248128084,0.8671375803536572,2000,state_key,16
poverty_absolute,rf_current_full,pearson,0.5147119553342703,0.3081583430563812,0.8317458203976211,2000,state_key,16
poverty_absolute,rf_sensor_safe,mae,2.442482715253973,1.3368366495841433,3.8471505132248667,2000,state_key,16
poverty_absolute,rf_sensor_safe,rmse,4.392331350540068,2.134656674159664,6.412987066283759,2000,state_key,16
poverty_absolute,rf_sensor_safe,r2,0.2758611786962655,-0.0655360261613328,0.6600608662376027,2000,state_key,16
poverty_absolute,rf_sensor_safe,spearman,0.7944867845327944,0.684892892045597,0.8761347672117958,2000,state_key,16
poverty_absolute,rf_sensor_safe,pearson,0.5558618649517828,0.36521115259737147,0.849188124365588,2000,state_key,16
poverty_absolute,sensor_safe_elasticnet,mae,3.296791636299842,2.169664132221047,4.651978573860519,2000,state_key,16
poverty_absolute,sensor_safe_elasticnet,rmse,5.045326735059238,3.0296623895583554,7.093765096341051,2000,state_key,16
poverty_absolute,sensor_safe_elasticnet,r2,0.04454500949047202,-0.1903888316341399,0.23766807599003892,2000,state_key,16
poverty_absolute,sensor_safe_elasticnet,spearman,0.5284708677116561,0.3425589443964119,0.6736548730193929,2000,state_key,16
poverty_absolute,sensor_safe_elasticnet,pearson,0.32549781827733903,0.15231078833422232,0.5815476848505506,2000,state_key,16
poverty_absolute,sensor_safe_ridge,mae,3.6556283847467737,2.4531901656402826,5.036378997427373,2000,state_key,16
poverty_absolute,sensor_safe_ridge,rmse,5.3334087038176525,3.3416808312929334,7.260378302324141,2000,state_key,16
poverty_absolute,sensor_safe_ridge,r2,-0.06768064798663787,-0.6626267416812457,0.21376490342416715,2000,state_key,16
poverty_absolute,sensor_safe_ridge,spearman,0.44623114191427704,0.20606945464841064,0.6208324307671508,2000,state_key,16
poverty_absolute,sensor_safe_ridge,pearson,0.2932298102327219,0.12644593213255303,0.5418164810367889,2000,state_key,16
poverty_absolute,sensor_safe_xgb,mae,2.6068128291280215,1.2801491751736356,4.194113176197463,2000,state_key,16
poverty_absolute,sensor_safe_xgb,rmse,4.736441261482842,2.1177603017629236,6.9066201797933795,2000,state_key,16
poverty_absolute,sensor_safe_xgb,r2,0.15795373843832416,-0.34060502712009494,0.6561995987532848,2000,state_key,16
poverty_absolute,sensor_safe_xgb,spearman,0.7850560115400818,0.6431048721645557,0.8836369719222624,2000,state_key,16
poverty_absolute,sensor_safe_xgb,pearson,0.47325401500245146,0.27274769255954306,0.8336326404688716,2000,state_key,16
poverty_absolute,sensor_safe_year_dummies_ridge,mae,2.817705459612101,1.6503640167926577,4.258938699596845,2000,state_key,16
poverty_absolute,sensor_safe_year_dummies_ridge,rmse,4.605612021644943,2.4790715747267473,6.497255631957864,2000,state_key,16
poverty_absolute,sensor_safe_year_dummies_ridge,r2,0.20382902587865126,-0.2561430071721373,0.577247553002763,2000,state_key,16
poverty_absolute,sensor_safe_year_dummies_ridge,spearman,0.7315504611786238,0.5687833359507453,0.8585373550401857,2000,state_key,16
poverty_absolute,sensor_safe_year_dummies_ridge,pearson,0.4951131992242941,0.3165084511473916,0.7826299751476183,2000,state_key,16
poverty_absolute,year_only_xgb,mae,2.9609377999594257,1.8472264224075294,4.513247823874777,2000,state_key,16
poverty_absolute,year_only_xgb,rmse,4.845645491427546,2.641787277651563,7.027251237568431,2000,state_key,16
poverty_absolute,year_only_xgb,r2,0.11867738136378814,-0.06705315557338581,0.33254048442407746,2000,state_key,16
poverty_absolute,year_only_xgb,spearman,0.49100357895891394,0.35743527311650697,0.6533709295193575,2000,state_key,16
poverty_absolute,year_only_xgb,pearson,0.416086560941993,0.2832202180097618,0.631468848247775,2000,state_key,16
poverty_relative,current_xgb,mae,2.5228293020513997,1.9865433164834976,3.1198116895258416,2000,state_key,16
poverty_relative,current_xgb,rmse,3.273589974745206,2.5965447148681773,3.932348051274885,2000,state_key,16
poverty_relative,current_xgb,r2,0.03354999266218184,-0.3514291349693052,0.3201175303734173,2000,state_key,16
poverty_relative,current_xgb,spearman,0.4270545564985778,0.22620904194297425,0.622042037404088,2000,state_key,16
poverty_relative,current_xgb,pearson,0.388151642109892,0.2095317285331116,0.5840188791850787,2000,state_key,16
poverty_relative,rf_current_full,mae,2.6301693710929266,2.115025594239796,3.2529490428060206,2000,state_key,16
poverty_relative,rf_current_full,rmse,3.404126958311205,2.7573779748975005,4.052289417660484,2000,state_key,16
poverty_relative,rf_current_full,r2,-0.0450626521886357,-0.41733485104588064,0.20022990842620675,2000,state_key,16
poverty_relative,rf_current_full,spearman,0.3653921087523699,0.21394399606142528,0.532814290260254,2000,state_key,16
poverty_relative,rf_current_full,pearson,0.32959597443717403,0.18436628276673,0.4954720137791924,2000,state_key,16
poverty_relative,rf_sensor_safe,mae,2.6313800942107024,2.074087401836024,3.318067637620994,2000,state_key,16
poverty_relative,rf_sensor_safe,rmse,3.4699247021442643,2.7734238650077554,4.17770401290702,2000,state_key,16
poverty_relative,rf_sensor_safe,r2,-0.08585273842436214,-0.5054941344630579,0.18973069574075296,2000,state_key,16
poverty_relative,rf_sensor_safe,spearman,0.3444814353623557,0.1937231894258087,0.5339934115715277,2000,state_key,16
poverty_relative,rf_sensor_safe,pearson,0.3089956413919041,0.1611017325999923,0.49243128199459907,2000,state_key,16
poverty_relative,sensor_safe_elasticnet,mae,2.814961416312457,2.2855249807622675,3.4095151274096556,2000,state_key,16
poverty_relative,sensor_safe_elasticnet,rmse,3.545033909065688,2.925645299705272,4.135439125493825,2000,state_key,16
poverty_relative,sensor_safe_elasticnet,r2,-0.13336974995808482,-0.42141157980584854,0.08457452600048689,2000,state_key,16
poverty_relative,sensor_safe_elasticnet,spearman,0.2299945856879398,0.07725871718053194,0.4211974012771183,2000,state_key,16
poverty_relative,sensor_safe_elasticnet,pearson,0.22297617898882008,0.07938140277204936,0.4103427944809015,2000,state_key,16
poverty_relative,sensor_safe_ridge,mae,3.8368517852969797,2.825998542155043,4.91260697644365,2000,state_key,16
poverty_relative,sensor_safe_ridge,rmse,4.809889149986495,3.6684488855178707,5.809842209603348,2000,state_key,16
poverty_relative,sensor_safe_ridge,r2,-1.0864162900610146,-2.0671656396042866,-0.38555104271486407,2000,state_key,16
poverty_relative,sensor_safe_ridge,spearman,0.07999428008586747,-0.0708505165155896,0.29338722621666424,2000,state_key,16
poverty_relative,sensor_safe_ridge,pearson,0.0895145101320476,-0.0623089258714114,0.2615178666520546,2000,state_key,16
poverty_relative,sensor_safe_xgb,mae,2.6383532403390624,2.040335442023941,3.33040036231468,2000,state_key,16
poverty_relative,sensor_safe_xgb,rmse,3.4617535353496875,2.748025843821573,4.158384144722916,2000,state_key,16
poverty_relative,sensor_safe_xgb,r2,-0.08074471005931572,-0.5573255176453933,0.24370414364946766,2000,state_key,16
poverty_relative,sensor_safe_xgb,spearman,0.356129581133161,0.1884127164203046,0.5680483267290318,2000,state_key,16
poverty_relative,sensor_safe_xgb,pearson,0.3227943540870861,0.1789185245034347,0.5195556298478526,2000,state_key,16
poverty_relative,sensor_safe_year_dummies_ridge,mae,3.8229135983132685,2.796760880815417,4.9113224412525085,2000,state_key,16
poverty_relative,sensor_safe_year_dummies_ridge,rmse,4.817421153878524,3.6367877972679334,5.836015680304008,2000,state_key,16
poverty_relative,sensor_safe_year_dummies_ridge,r2,-1.092955817034904,-2.054745895826283,-0.3793969959219289,2000,state_key,16
poverty_relative,sensor_safe_year_dummies_ridge,spearman,0.07410174239381824,-0.10551355153380493,0.3100916976981074,2000,state_key,16
poverty_relative,sensor_safe_year_dummies_ridge,pearson,0.07378729703651467,-0.10557682894767886,0.266259258961704,2000,state_key,16
poverty_relative,year_only_xgb,mae,2.2364303842375555,1.8842158283889296,2.6287079743493957,2000,state_key,16
poverty_relative,year_only_xgb,rmse,2.889139422839765,2.414877692212041,3.361614087809334,2000,state_key,16
poverty_relative,year_only_xgb,r2,0.24722041914011217,0.08980224798559962,0.37457279758350875,2000,state_key,16
poverty_relative,year_only_xgb,spearman,0.4312674242675642,0.3098000866133103,0.5665733696798584,2000,state_key,16
poverty_relative,year_only_xgb,pearson,0.5112058630491758,0.39674053746852933,0.6406980977989996,2000,state_key,16
