state_key,state,year,target,model,train_end_year,actual,predicted,residual,abs_error
Perlis,Perlis,2016,poverty_absolute,rf_sensor_safe,2014,0.1,1.1251603269892456,1.0251603269892455,1.0251603269892455
PulauPinang,Pulau Pinang,2016,poverty_absolute,rf_sensor_safe,2014,0.1,0.39004297498859575,0.29004297498859577,0.29004297498859577
Putrajaya,W.P. Putrajaya,2016,poverty_absolute,rf_sensor_safe,2014,0.0,0.04535613776926569,0.04535613776926569,0.04535613776926569
Sabah,Sabah,2016,poverty_absolute,rf_sensor_safe,2014,2.9,3.0987071650602527,0.19870716506025277,0.19870716506025277
Sarawak,Sarawak,2016,poverty_absolute,rf_sensor_safe,2014,0.6,1.7240529878546567,1.1240529878546566,1.1240529878546566
Selangor,Selangor,2016,poverty_absolute,rf_sensor_safe,2014,0.0,0.2866176530609966,0.2866176530609966,0.2866176530609966
Trengganu,Terengganu,2016,poverty_absolute,rf_sensor_safe,2014,0.4,1.0408966747670427,0.6408966747670427,0.6408966747670427
Johor,Johor,2019,poverty_absolute,rf_sensor_safe,2016,3.9,0.1014420419673946,-3.7985579580326054,3.7985579580326054
Kedah,Kedah,2019,poverty_absolute,rf_sensor_safe,2016,8.8,0.3688211032184111,-8.43117889678159,8.43117889678159
Kelantan,Kelantan,2019,poverty_absolute,rf_sensor_safe,2016,12.4,0.453249944832431,-11.94675005516757,11.94675005516757
KualaLumpur,W.P. Kuala Lumpur,2019,poverty_absolute,rf_sensor_safe,2016,0.2,0.05950963602970233,-0.14049036397029768,0.14049036397029768
Labuan,W.P. Labuan,2019,poverty_absolute,rf_sensor_safe,2016,3.1,0.5093175686784126,-2.5906824313215875,2.5906824313215875
Melaka,Melaka,2019,poverty_absolute,rf_sensor_safe,2016,3.9,0.06045365393872068,-3.839546346061279,3.839546346061279
NegeriSembilan,Negeri Sembilan,2019,poverty_absolute,rf_sensor_safe,2016,4.3,0.48695479023013927,-3.8130452097698604,3.8130452097698604
Pahang,Pahang,2019,poverty_absolute,rf_sensor_safe,2016,4.3,1.0535441436049298,-3.24645585639507,3.24645585639507
Perak,Perak,2019,poverty_absolute,rf_sensor_safe,2016,7.3,0.5140669628095946,-6.785933037190405,6.785933037190405
Perlis,Perlis,2019,poverty_absolute,rf_sensor_safe,2016,3.9,0.45196121778416404,-3.448038782215836,3.448038782215836
PulauPinang,Pulau Pinang,2019,poverty_absolute,rf_sensor_safe,2016,1.9,0.20442022921066497,-1.695579770789335,1.695579770789335
Putrajaya,W.P. Putrajaya,2019,poverty_absolute,rf_sensor_safe,2016,0.4,0.015436842209373398,-0.3845631577906266,0.3845631577906266
Sabah,Sabah,2019,poverty_absolute,rf_sensor_safe,2016,19.5,3.3986890967736976,-16.101310903226302,16.101310903226302
Sarawak,Sarawak,2019,poverty_absolute,rf_sensor_safe,2016,9.0,1.5851511885021732,-7.414848811497826,7.414848811497826
